TITLE,AUTHOR,CATEGORY,PAGES,RELEASE DATE,PAPERBACK,HARDCOVER,RATING,STARS,COVER,AMAZON
Platform,Cynthia Johnson,Marketing,224,"Feb 05, 2019",-,$15.89,92,4.5,https://images1.penguinrandomhouse.com/cover/9780399581373,https://www.amazon.com/Platform-Cynthia-Johnson-audiobook/dp/B07LH5GZFP/ref=sr_1_1?dchild=1&keywords=9780399581373&qid=1607341665&sr=8-1
Digital Minimalism,Cal Newport,Personal Growth | Business | Technology,304,"Feb 05, 2019",$15.29,$15.97,"1,301",4.6,https://images3.penguinrandomhouse.com/cover/9780525536512,https://www.amazon.com/Digital-Minimalism-Cal-Newport-audiobook/dp/B07LGDY5PC/ref=sr_1_1?dchild=1&keywords=9780525536512&qid=1607341763&sr=8-1
BE 2.0 (Beyond Entrepreneurship 2.0),"Jim Collins, William Lazier",Management,352,"Dec 01, 2020",-,$28.00,2,5,https://images3.penguinrandomhouse.com/cover/9780399564239,https://www.amazon.com/BE-2-0-Beyond-Entrepreneurship-Business/dp/B08G2D6JRM/ref=sr_1_1?dchild=1&keywords=9780399564239&qid=1607341809&sr=8-1
"Purple Cow, New Edition",Seth Godin,Business,224,"Nov 12, 2009",$18.45,$12.86,"1,026",4.5,https://images1.penguinrandomhouse.com/cover/9781591843177,https://www.amazon.com/Purple-Cow-New-Transform-Remarkable-ebook/dp/B00316UMS0/ref=sr_1_1?dchild=1&keywords=9781591843177&qid=1607341890&sr=8-1
The Dumb Things Smart People Do with Their Money,Jill Schlesinger,Business | Personal Finance | Personal Growth,288,"Feb 04, 2020",$14.59,$16.99,196,4.5,https://images2.penguinrandomhouse.com/cover/9780525622185,https://www.amazon.com/Things-Smart-People-Their-Money/dp/B07M866FCV/ref=sr_1_1?dchild=1&keywords=9780525622185&qid=1607341919&sr=8-1
Free Prize Inside,Seth Godin,Marketing,256,"Apr 24, 2007",$15.00,$12.89,73,4.4,https://images4.penguinrandomhouse.com/cover/9781591841678,https://www.amazon.com/Free-Prize-Inside-Make-Purple-ebook/dp/B000O76OAO/ref=sr_1_1?dchild=1&keywords=9781591841678&qid=1607341968&sr=8-1
The Superbosses Playbook,Sydney Finkelstein,Management,320,"Feb 05, 2019",$11.00,-,8,4.2,https://images2.penguinrandomhouse.com/cover/9780525540120,https://www.amazon.com/Superbosses-Playbook-Workbook-Companion/dp/0525540121/ref=sr_1_1?dchild=1&keywords=9780525540120&qid=1607342007&sr=8-1
The Money Plot,Frederick Kaufman,Economics | Management,304,"Nov 24, 2020",-,$27.99,2,4.5,https://images3.penguinrandomhouse.com/cover/9781590517185,https://www.amazon.com/Money-Plot-History-Currencys-Manipulate/dp/1590517180/ref=sr_1_1?dchild=1&keywords=9781590517185&qid=1607342047&sr=8-1
Bedtime Stories for Managers,Henry Mintzberg,Management,200,"Feb 05, 2019",$15.99,-,40,4.4,https://images3.penguinrandomhouse.com/cover/9781523098781,https://www.amazon.com/Bedtime-Stories-Managers-Leadership-Management/dp/1523098783/ref=sr_1_1?dchild=1&keywords=9781523098781&qid=1607342083&sr=8-1
Influential Woman,Dion Johnson,Religion | Business,240,"Nov 24, 2020",$18.19,-,2,5,https://images2.penguinrandomhouse.com/cover/9781401960438,https://www.amazon.com/InfluenceHer-Habits-Leader-Inspire-Change/dp/140196043X/ref=sr_1_1?dchild=1&keywords=9781401960438&qid=1607342113&sr=8-1
The Growth Delusion,David Pilling,Economics | Management,304,"Jan 29, 2019",$16.00,$19.69,28,4.3,https://images2.penguinrandomhouse.com/cover/9780525572510,https://www.amazon.com/The-Growth-Delusion-David-Pilling-audiobook/dp/B0797JMPKZ/ref=sr_1_1?dchild=1&keywords=9780525572510&qid=1607342177&sr=8-1
"Stepping Up, Second Edition",John B. Izzo,Personal Growth | Business,216,"Nov 24, 2020",$20.99,-,-,-,https://images4.penguinrandomhouse.com/cover/9781523091454,https://www.amazon.com/Stepping-Up-Responsibility-Changes-Everything/dp/1523091452/ref=sr_1_1?dchild=1&keywords=9781523091454&qid=1607342192&sr=8-1
"The Regulation of International Trade, Volume 3",Petros C. Mavroidis,Economics | Management | World Politics,752,"Nov 24, 2020",-,-,-,-,https://images3.penguinrandomhouse.com/cover/9780262044554,https://www.amazon.com/Regulation-International-Trade-Agreement-Services/dp/0262044552/ref=sr_1_1?dchild=1&keywords=9780262044554&qid=1607342270&sr=8-1
Buy the Change You Want to See,"Jane Mosbacher Morris, Wendy Paris",Business | Politics | Inspiration & Motivation | Personal Growth,272,"Jan 29, 2019",$4.95,-,25,4.7,https://images4.penguinrandomhouse.com/cover/9780143133216,https://www.amazon.com/Buy-Change-You-Want-See/dp/0143133217/ref=sr_1_1?dchild=1&keywords=9780143133216&qid=1607342255&sr=8-1
Post Corona,Scott Galloway,Economics | Management | Politics,256,"Nov 24, 2020",$20.00,$22.49,58,4.5,https://images1.penguinrandomhouse.com/cover/9780593332214,https://www.amazon.com/Post-Corona-Opportunity-Scott-Galloway/dp/0593332210/ref=sr_1_1?dchild=1&keywords=9780593332214&qid=1607342335&sr=8-1
Citizen Capitalism,"Tamara Belinfanti, Lynn Stout, Sergio Gramitto",Domestic Politics | Business,184,"Jan 29, 2019",$16.94,-,15,4.7,https://images4.penguinrandomhouse.com/cover/9781523095650,https://www.amazon.com/Citizen-Capitalism-Universal-Provide-Influence/dp/1523095652/ref=sr_1_1?dchild=1&keywords=9781523095650&qid=1607342352&sr=8-1
Disrupt-Her,Miki Agrawal,Business | Personal Growth,288,"Mar 03, 2020",$17.99,$23.19,111,4.6,https://images4.penguinrandomhouse.com/cover/9781401955588,https://www.amazon.com/Disrupt-Her-Miki-Agrawal-audiobook/dp/B07LB6QNN4/ref=sr_1_1?dchild=1&keywords=9781401955588&qid=1607342432&sr=8-1
"Time, Money, Freedom","Jessica Higdon, Ray Higdon",Business,240,"Nov 17, 2020",$33.96,$18.13,43,5,https://images4.penguinrandomhouse.com/cover/9781401960308,https://www.amazon.com/Time-Money-Freedom-Redefine-Radically/dp/1401960308/ref=sr_1_1?dchild=1&keywords=9781401960308&qid=1607342492&sr=8-1
Evolving Households,Jeremy Greenwood,Economics | Management | Technology,336,"Jan 29, 2019",-,$60.00,5,5,https://images2.penguinrandomhouse.com/cover/9780262039239,https://www.amazon.com/Evolving-Households-Imprint-Technology-Press/dp/0262039230/ref=sr_1_1?dchild=1&keywords=9780262039239&qid=1607342558&sr=8-1
Tax-Free Income for Life,David McKnight,Business | Personal Finance,160,"Nov 17, 2020",-,$20.00,16,5,https://images3.penguinrandomhouse.com/cover/9780593327753,https://www.amazon.com/Tax-Free-Income-Life-Step-Step/dp/0593327756/ref=sr_1_1?dchild=1&keywords=9780593327753&qid=1607342594&sr=8-1
Wine Economics,Stefano Castriota,Management | Technology,320,"Nov 17, 2020",-,$55.00,-,-,https://images4.penguinrandomhouse.com/cover/9780262044677,https://www.amazon.com/Wine-Economics-Stefano-Castriota/dp/0262044676/ref=sr_1_1?dchild=1&keywords=9780262044677&qid=1607342692&sr=8-1
The Climate Report,U.S. Global Change Research Program,Domestic Politics | Business,272,"Jan 22, 2019",$21.99,-,22,4.5,https://images2.penguinrandomhouse.com/cover/9781612198026,https://www.amazon.com/Climate-Report-National-Assessment-Impacts-Adaptation/dp/1612198023/ref=sr_1_1?dchild=1&keywords=9781612198026&qid=1607342758&sr=8-1
Pappyland,Wright Thompson,Biography & Memoir | Wine & Beverage | Business,256,"Nov 10, 2020",-,$23.99,167,4.4,https://images1.penguinrandomhouse.com/cover/9780735221253,https://www.amazon.com/Pappyland-Story-Family-Bourbon-Things/dp/0735221251/ref=sr_1_1?dchild=1&keywords=9780735221253&qid=1607342777&sr=8-1
The Common Good,Robert B. Reich,Philosophy | Business | Domestic Politics,208,"Jan 15, 2019",$13.39,$16.21,312,4.8,https://images4.penguinrandomhouse.com/cover/9780525436379,https://www.amazon.com/Common-Good-Robert-B-Reich/dp/0525436375/ref=sr_1_1?dchild=1&keywords=9780525436379&qid=1607342891&sr=8-1
Monetary Policy and Macroprudential Regulation with Financial Frictions,Pierre-Richard Agenor,Economics | Management,600,"Nov 10, 2020",-,-,-,-,https://images1.penguinrandomhouse.com/cover/9780262044226,https://www.amazon.com/Monetary-Macroprudential-Regulation-Financial-Frictions/dp/0262044226/ref=sr_1_1?dchild=1&keywords=9780262044226&qid=1607343030&sr=8-1
The Pandemic Information Gap,Joshua Gans,Economics | Management | Domestic Politics,160,"Nov 10, 2020",$19.95,-,2,4.5,https://images1.penguinrandomhouse.com/cover/9780262539128,https://www.amazon.com/Pandemic-Information-Gap-Economics-COVID-19/dp/0262539128/ref=sr_1_1?dchild=1&keywords=9780262539128&qid=1607343097&sr=8-1
Help Them Grow or Watch Them Go,"Julie Winkle Giulioni, Beverly Kaye",Business,160,"Jan 15, 2019",$19.99,-,217,4.5,https://images1.penguinrandomhouse.com/cover/9781523097500,https://www.amazon.com/Help-Them-Grow-Watch-Conversations/dp/1523097507/ref=sr_1_1?dchild=1&keywords=9781523097500&qid=1607343132&sr=8-1
"Practical Project Risk Management, Third Edition","David Hillson, Peter Simon",Management,384,"Nov 03, 2020",$40.28,-,3,4.4,https://images1.penguinrandomhouse.com/cover/9781523089208,https://www.amazon.com/Practical-Project-Risk-Management-Third/dp/B08NLVYLDN/ref=sr_1_1?dchild=1&keywords=9781523089208&qid=1607343187&sr=8-1
The Law of Small Things,Stuart H. Brody,Business | Psychology,240,"Jan 15, 2019",$19.95,-,15,4.6,https://images2.penguinrandomhouse.com/cover/9781523098132,https://www.amazon.com/Law-Small-Things-Creating-Integrity/dp/B07KRKSF16/ref=sr_1_1?dchild=1&keywords=9781523098132&qid=1607343303&sr=8-1
The Practice,Seth Godin,Business | Personal Growth | Psychology,272,"Nov 03, 2020",$18.75,$16.89,191,4.7,https://images3.penguinrandomhouse.com/cover/9780593328972,https://www.amazon.com/The-Practice-Shipping-Creative-Work/dp/B089B7SZCN/ref=sr_1_1?dchild=1&keywords=9780593328972&qid=1607343280&sr=8-1
The Critical Few,"James Thomas, Jon R. Katzenbach, Gretchen Anderson",Business,208,"Jan 15, 2019",-,$17.25,36,4.4,https://images3.penguinrandomhouse.com/cover/9781523098729,https://www.amazon.com/Critical-Few-Energize-Companys-Choosing/dp/1523098724/ref=sr_1_1?dchild=1&keywords=9781523098729&qid=1607343374&sr=8-1
The Sustainable Economy,"Robert S. Devine, Robert Devine",Science | Business,352,"Oct 27, 2020",$16.66,-,2,5,https://images3.penguinrandomhouse.com/cover/9780307277176,https://www.amazon.com/Sustainable-Economy-Hidden-Climate-Prosperous/dp/0307277178/ref=sr_1_1?dchild=1&keywords=9780307277176&qid=1607343464&sr=8-1
-,Dean Graziosi,-,-,-,-,-,-,-,-,https://www.amazon.com/Amazon-com-Gift-Card-Balance-Reload/dp/B00IX1I3G6/ref=sr_1_1?dchild=1&keywords=-&qid=1607343471&sr=8-1
The Queering of Corporate America,Carlos A. Ball,Business | Psychology,256,"Oct 27, 2020",$18.00,$21.49,6,4.1,https://images1.penguinrandomhouse.com/cover/9780807002575,https://www.amazon.com/Queering-Corporate-America-Business-Adversary-ebook/dp/B07NCMXW27/ref=sr_1_1?dchild=1&keywords=9780807002575&qid=1607343536&sr=8-1
Launching While Female,Susanne Althoff,Business,208,"Oct 27, 2020",-,$18.11,3,5,https://images1.penguinrandomhouse.com/cover/9780807042977,https://www.amazon.com/Launching-While-Female-Smashing-Entrepreneurs/dp/0807042978/ref=sr_1_1?dchild=1&keywords=9780807042977&qid=1607343631&sr=8-1
Mind Your Business,Ilana Griffo,Business,200,"Jan 15, 2019",$15.95,-,"1,093",4.6,https://images1.penguinrandomhouse.com/cover/9781944515720,https://www.amazon.com/Mind-Your-Business-Workbook-Full-time/dp/1944515720/ref=sr_1_1?dchild=1&keywords=9781944515720&qid=1607343654&sr=8-1
Spontaneous Venturing,"Trenton A. Williams, Dean A. Shepherd",Business,248,"Jan 15, 2019",-,$35.00,-,-,https://images4.penguinrandomhouse.com/cover/9780262038874,https://www.amazon.com/Spontaneous-Venturing-Entrepreneurial-Alleviating-Suffering-ebook/dp/B08BT3GPM5/ref=sr_1_1?dchild=1&keywords=9780262038874&qid=1607343725&sr=8-1
